device_id,fuel_level,distance_cm,latitude,longitude,speed_kmph,timestamp,received_at,fuel_gt_L,fuel_raw_L,event_label,t_s
TRUCK-001,381.13304641786857,5.660086074638353,18.6298,73.7997,0.0,2026-08-01 06:00:00,2026-08-01 06:00:04.125477333,380.0,381.13304641787215,Normal,0.0
TRUCK-001,381.1330464178693,5.295091184005423,18.6298,73.7997,0.0,2026-08-01 06:00:01,2026-08-01 06:00:06.486069005,379.9997222222222,382.34969605331526,Normal,1.0
TRUCK-001,381.13304641788363,5.684926943390218,18.6298,73.7997,0.0,2026-08-01 06:00:02,2026-08-01 06:00:06.878428451,379.9994444444444,381.0502435220326,Normal,2.0
TRUCK-001,381.1330464180126,5.65910813955548,18.6298,73.7997,0.0,2026-08-01 06:00:03,2026-08-01 06:00:05.126035950,379.9991666666666,381.1363062014817,Normal,3.0
TRUCK-001,381.1330464187831,5.968415255846478,18.6298,73.7997,0.0,2026-08-01 06:00:04,2026-08-01 06:00:06.500831425,379.9988888888888,380.1052824805117,Normal,4.0
TRUCK-001,381.1330464222406,5.575245645470863,18.6298,73.7997,0.0,2026-08-01 06:00:05,2026-08-01 06:00:10.367767227,379.998611111111,381.4158478484305,Normal,5.0
TRUCK-001,381.13304643473026,5.957939659699827,18.6298,73.7997,0.0,2026-08-01 06:00:06,2026-08-01 06:00:07.026326523,379.9983333333332,380.1402011343339,Normal,6.0
TRUCK-001,381.1330464727232,6.749992387568038,18.6298,73.7997,0.0,2026-08-01 06:00:07,2026-08-01 06:00:12.106142092,379.9980555555554,377.5000253747732,Normal,7.0
TRUCK-001,381.13304657319776,5.361185956498935,18.6298,73.7997,0.0,2026-08-01 06:00:08,2026-08-01 06:00:12.985347144,379.9977777777776,382.1293801450036,Normal,8.0
TRUCK-001,381.1330468096738,7.157213551703352,18.6298,73.7997,0.0,2026-08-01 06:00:09,2026-08-01 06:00:12.339674764,379.99749999999983,376.14262149432216,Normal,9.0
